,SeriesName,Poster,ReleaseYear,Synopsis,Rating,Cast,Director,Network,Genre,Language,ReleaseDate
0,Inside Job,https://resizing.flixster.com/GS5bK7y7sHoM1gwnSY9Y0EMkA3U=/fit-in/180x240/v2/https://resizing.flixster.com/409TGxX1Sz7Yj3XhuCrQ4rMQq_I=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMGM3YTFjMTctNGI0ZC00ZjBiLWIzM2EtNjhlMTlmOGZmYmQzLmpwZw==,2021, Anti-social genius Reagan Ridley and her dysfunctional team work to hide the world's conspiracies.... ,79,"Lizzy Caplan,Christian Slater,Clark Duke,Tisha Campbell-Martin","Shion Takeuchi,Alex Hirsch",Netflix,"Sci-Fi,Comedy,Animation",English,"Oct 22, 2021"
1,1899,https://resizing.flixster.com/VR265PotIWkaQSe-ugdV6pkhPLo=/fit-in/180x240/v2/https://resizing.flixster.com/vjp6GCi3rcyDlLV3nDLIHroN-78=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNDQ5M2UxN2QtZGZjNy00Y2Q2LTkzZDgtMTNiYmJmZGM0ZDFlLmpwZw==,2022, Immigrants on a steamship traveling from London to New York get caught up in a mysterious riddle after finding a... ,77,"Emily Beecham,Aneurin Barnard,Andreas Pietschmann,Miguel Bernardeau",,Netflix,"Drama,Horror",English,"Nov 17, 2022"
2,Human Resources,https://resizing.flixster.com/UrAXaf_pJMm4fZGDY0Lcu2AmdJQ=/fit-in/180x240/v2/https://resizing.flixster.com/1rYh2_aZ2Xk0WaNshfcE-h0IjDI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjdjZWM0Y2MtZjVkMC00MmZmLTg1MjgtYTNmMzM3MDZiYmM3LmpwZw==,2022," This workplace comedy pulls back the curtain on the daily lives of Hormone Monsters, Depression Kitties, Shame Wizards, and other... ",75,"Aidy Bryant,Randall Park,Nick Kroll,Maya Rudolph","Kelly Galuska,Nick Kroll,Andrew Goldberg,Jennifer Flackett",Netflix,"Comedy,Animation",English,"Mar 18, 2022"
3,The Gentlemen,https://resizing.flixster.com/6zge6Yc_-fAaTQ-7cdfG_hysj_E=/fit-in/180x240/v2/https://resizing.flixster.com/b302QgbJv23f4Wk9H6Z09vPe0p8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMGY0N2ZjZDMtYTVkYi00NGJiLTg5NTUtZWM5MWY0ZDhmMTRkLmpwZw==,2024," When aristocratic Eddie inherits the family estate, he discovers that it's home to an enormous weed empire, and its proprietors... ",74,"Theo James,Kaya Scodelario,Giancarlo Esposito,Daniel Ings","Guy Ritchie,Marn Davies,Ivan Atkinson,Marc Helwig",Netflix,"Comedy,Drama",English,"Mar 7, 2024"
4,The Night Agent,https://resizing.flixster.com/oN3HLWzuaGa8WeGTBVBW1dDYKQ8=/fit-in/180x240/v2/https://resizing.flixster.com/wLM95UiPP8D6ltOAvLnOUuYwyk8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMTJlM2U0NTQtY2E1NS00YmI3LWIzZDgtYmYwNzhlZTkzOGViLmpwZw==,2023," Based on the novel by Matthew Quirk, The Night Agent is a sophisticated, character-based, action-thriller centering on a low level... ",74,"Gabriel Basso,Luciane Buchanan,Hong Chau,Sarah Desjardins","Shawn Ryan,Marney Hochman,Seth Gordon,Julia Gunn",Netflix,"Drama,Mystery & Thriller",English,"Mar 23, 2023"
5,Wednesday,https://resizing.flixster.com/MyYgxsWClhRXro2zqFvFgVimfYU=/fit-in/180x240/v2/https://resizing.flixster.com/LumPRA7tw5a4VtKzSnGnTWpW2Q8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNTlmOGIyM2ItMzRhMy00MjdkLThkNDYtZWJkZDI1ODMzNmI3LmpwZw==,2022," While attending Nevermore Academy, Wednesday Addams attempts to master her emerging psychic ability, thwart a killing spree and solve the... ",73,"Jenna Ortega,Gwendoline Christie,Riki Lindhome,Christina Ricci","Tim Burton,Alfred Gough,Miles Millar,Kayla Alpert",Netflix,Mystery & Thriller,English,"Nov 23, 2022"
6,Manifest,https://resizing.flixster.com/Tv74UJCi7VE1xKsKDgNcoFRqfKo=/fit-in/180x240/v2/https://resizing.flixster.com/u5EDiL4PdP4myXFJfZSrGvYYWfs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZTY2MTRiMTQtMDE2YS00MDk5LTk4ZGYtYjdlYmI0MmI1NjRkLmpwZw==,2018," When Montego Air Flight 828 landed safely after a turbulent but routine flight, the crew and passengers were relieved. But... ",72,"Melissa Roxburgh,Josh Dallas,J.R. Ramirez,Luna Blaise","Jeff Rake,Robert Zemeckis,Jack Rapke,Jackie Levine",NBC,"Drama,Sci-Fi,Adventure,Mystery & Thriller",English,"Sep 24, 2018"
7,Outer Banks,https://resizing.flixster.com/ZCrISU1ZZrkOAzKASGoMT-gW_sU=/fit-in/180x240/v2/https://resizing.flixster.com/sVONCNI3xr5d3qg9S5CszPzhF2w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDBiN2M5NDktYmY0ZC00MjgxLWJjNGEtMGEwNmIzNDhiZmFlLmpwZw==,2020, A teenager enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.... ,72,"Chase Stokes,Madelyn Cline,Madison Bailey,Jonathan Daviss",,Netflix,Drama,English,"Apr 15, 2020"
8,Treason,https://resizing.flixster.com/4dZ5IFyzd36oHqSvDj2S6r_3Qss=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p23455119_b_v13_ab.jpg,2022, An MI6 deputy's bright future takes a sharp turn after a reunion with a Russian spy forces him to question... ,72,"Charlie Cox,Oona Chaplin,Olga Kurylenko,Ciarán Hinds","Matt Charman,Foz Allan,Valery Ryan",Netflix,"Drama,Mystery & Thriller",English,"Dec 26, 2022"
9,Elite,https://resizing.flixster.com/u6hfty1PjtbkPjLt8jZpv_9UxhE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15991777_b_v13_af.jpg,2018," When three working-class teens enroll in an exclusive private school in Spain, the clash between them and the wealthy students... ",71,"André Lamoglia,Valentina Zenere,Omar Ayuso,Carmen Arrufat","Diego Betancor,Carlos Montero,Ramón Salazar,Dani de la Órden",Netflix,"Crime,Drama,Mystery & Thriller",European Spanish,"Oct 5, 2018"
10,Exploding Kittens,https://resizing.flixster.com/qm0RIj1CxtR1AuB3T5INzKlLQU8=/fit-in/180x240/v2/https://resizing.flixster.com/5FF4GdqFbHKb-UpUyrFZmKXGhEU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvM2E4ZGI4ZjYtMzJjYi00ODNiLWI2ZWQtNDczMjFkN2RjNGYzLmpwZw==,2024," An eternal conflict reaches epic proportions when both, God and the Devil, are sent to Earth to live with humans,... ",71,"Tom Ellis,Suzy Nakamura,Ally Maki",,Netflix,"Animation,Comedy",English,"Jul 12, 2024"
11,Money Heist: Korea: Joint Economic Area,https://resizing.flixster.com/H3GKGMBaPJXl23iPv6c9Kl0H4vw=/fit-in/180x240/v2/https://resizing.flixster.com/f20-g739mnw6MWpadjESR8Vga-Q=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOTViYjE1MzctYjhmNC00M2YxLTkxMjQtNTMwNzQ5YjU1ZjhiLmpwZw==,2022," Thieves overtake the mint of a unified Korea, trapping hostages inside; the police must stop the thieves as well as... ",71,"Yoo Ji-tae,Kim Yun-jin,Park Hae-soo,Jeon Jong-seo","Kim Hong-seon,Álex Pina",Netflix,"Action,Crime,Drama",Korean,"Jun 24, 2022"
12,Arnold,https://resizing.flixster.com/P6hKunKY4MautfmmT1OEvZCANHk=/fit-in/180x240/v2/https://resizing.flixster.com/eCkMBBxv6RNk0pwlVJz2Y77GoeU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOTFhN2M3NDEtYTg4Yi00NjRlLWJlMTQtOTliOWU1YmVhNzliLmpwZw==,2023," A look at Arnold Schwarzenegger's multifaceted life and career, from bodybuilding champion to actor to politician.... ",70,Arnold Schwarzenegger,"Allen Hughes,Lesley Chilcott,Peter Nelson,Paul Wachter",Netflix,"Documentary,Biography",English,"Jun 7, 2023"
13,The Eddy,https://resizing.flixster.com/BaeUJdVzbAMpmlPLOWSDrcNHQ1c=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p18177370_b_v13_aa.jpg,2020, A jazz club owner deals with the everyday struggles of running a live music venue in Paris.... ,69,"André Holland,Joanna Kulig,Amandla Stenberg,Leïla Bekhti",,Netflix,"Music,Drama",English,"May 8, 2020"
14,Grand Army,https://resizing.flixster.com/2w7iZz2Owe-I4LHq_sE63AdIfEc=/fit-in/180x240/v2/https://resizing.flixster.com/whORaGc2EIWLrhjck7LduDkrDsQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjc2ODY4OS53ZWJw,2020," Five students at the largest public high school in Brooklyn take on a chaotic world as they fight to succeed,... ",69,"Odessa A'zion,Odley Jean,Maliq Johnson,Amalia Yoo","Joshua Donen,Beau Willimon,Jordan Tappis",Netflix,Drama,English,"Oct 16, 2020"
15,Black Knight,https://resizing.flixster.com/yVZo_kZQjRPVw_rvekkXQD-wvSo=/fit-in/180x240/v2/https://resizing.flixster.com/h1p1AkqFSWg6CI-W79-6tXY7dDQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYjc1NWE2NTEtYzFiZS00Nzc3LWE1MTctMjFlNWFhNGI3N2ZjLmpwZw==,2023," In a dystopian future devastated by air pollution, the survival of humanity depends on the Black Knights, and they're far... ",69,"Kim Woo-bin,Song Seung-heon,Kang Yoo-seok,E Som",Jo Ui-seok,Netflix,"Drama,Sci-Fi,Action,Adventure",Korean,"May 12, 2023"
16,The Recruit,https://resizing.flixster.com/l-MiD0s4fmHSCwlhuVK0SDdHn1o=/fit-in/180x240/v2/https://resizing.flixster.com/frO3qYn7_jeC6xxUm10cwbeaxe8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNGQ2NzYyYzEtZTgwMi00NzM1LWE5NWEtNmRiYTk5NzhkZjI4LmpwZw==,2022, A fledgling CIA lawyer gets caught up in a dangerous game of international politics when a former asset threatens to... ,68,"Noah Centineo,Laura Haddock,Aarti Mann,Colton Dunn","Noah Centineo,Alexi Hawley,Doug Liman,Gene Klein",Netflix,"Crime,Drama,Mystery & Thriller",English,"Dec 16, 2022"
17,Copenhagen Cowboy,https://resizing.flixster.com/W0SVdZSG2o-qLHxN8rHT6ngmdZs=/fit-in/180x240/v2/https://resizing.flixster.com/hRQvGXu3xQ3uUsIza4NWVqcgjJU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvY2YzYTcwNjctNWJjNy00Njk0LWJlMmUtYTY5NTMxNDhmNzVkLmpwZw==,2023, A young heroine travels through Copenhagen's criminal underworld.... ,68,"Angela Bundalovic,Andreas Lykke Jørgensen,Jason Hendil-Forssell,Li li Zhang",Nicolas Winding Refn,Netflix,"Drama,Mystery & Thriller",Danish,"Jan 5, 2023"
18,Self Made: Inspired by the Life of Madam C.J. Walker,https://resizing.flixster.com/gyGVLWbDd_TXmRX5DtvzPKaC2iw=/fit-in/180x240/v2/https://resizing.flixster.com/codZqO5RE-nIPupxXxhGvOOxCeI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjY4ODQ1My53ZWJw,2020," A chronicle of the incredible story of Madam C.J. Walker, who was the first African American self-made millionaire.... ",68,"Octavia Spencer,Tiffany Haddish,Carmen Ejogo,Blair Underwood","Janine Sherman Barrois,Lois Johnson,Maverick Carter,LeBron James",Netflix,"History,Drama,Biography",English,"Mar 20, 2020"
19,Disenchantment,https://resizing.flixster.com/_B41QjJtb38WXW8PvXvXLUd6ozQ=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p15553420_b_v12_ab.jpg,2018," After tackling modern times with ""The Simpsons"" and the future with ""Futurama,"" producer Matt Groening steps into the past with... ",67,"Abbi Jacobson,Nat Faxon,Eric André,John DiMaggio","Matt Groening,Josh Weinstein",Netflix,"Comedy,Fantasy,Animation",English,"Aug 17, 2018"
20,Unstable,https://resizing.flixster.com/cTkxURQbUbiIi8N1CogUzN3VQRw=/fit-in/180x240/v2/https://resizing.flixster.com/7lmBlFty71TRzuKVRfuWsRYqzLc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNWJmYzIwYjItYmJkNS00MDc0LThkYTQtNThiMGQ5MDNlZTg5LmpwZw==,2023, An introverted man must save his eccentric biotech entrepreneur father -- and his company -- from disaster.... ,67,"Rob Lowe,Johnowen Lowe,Sian Clifford,Rachel Marsh","Rob Lowe,Johnowen Lowe,Victor Fresco,Marc Buckland",Netflix,"Comedy,Drama",English,"Mar 30, 2023"
21,Who Is Erin Carter?,https://resizing.flixster.com/9iyq5-jlF_blta0qVbLn9a4WjSc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24968492_b_v13_aa.jpg,2023, A British teacher who finds herself caught up in a robbery in Spain must fight to clear her name and... ,67,"Evin Ahmad,Sean Teale,Douglas Henshall,Susannah Fielding","Andy Harries,Rob Bullock,Jack Lothian,Sharon Hughff",Netflix,"Crime,Drama,Action,Adventure",English,"Aug 24, 2023"
22,Cursed,https://resizing.flixster.com/6tG0Rs0WQPHXGHDDmqTTEja2LVY=/fit-in/180x240/v2/https://resizing.flixster.com/ITOCoZLLJtR4Sc7Ia1GqZb2h8xw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjcwNDMyMC53ZWJw,2020," In a retelling of the Arthurian legend, teenage sorceress Nimue joins forces with a young and charming mercenary named Arthur... ",65,"Katherine Langford,Devon Terrell,Gustaf Skarsgård,Peter Mullan","Frank Miller,Tom Wheeler,Leila Gerstein,Zetna Fuentes",Netflix,"Drama,Action,Adventure,Fantasy",English,"Jul 17, 2020"
23,The Duchess,https://resizing.flixster.com/HCpZ3GparApSIjPG_Za6kQzmBv0=/fit-in/180x240/v2/https://resizing.flixster.com/QwjDMcawgy5y63SYFBz245bb9Cc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjc0Mjg4OS53ZWJw,2020," In London, single mother Katherine juggles her career, her tween daughter and her relationship with her boyfriend -- all while... ",65,"Katherine Ryan,Steen Raskopoulos,Kate Byrne,Rory Keenan","Katherine Ryan,Dave Becky,Josh Lieberman,Murray Ferguson",Netflix,"Comedy,Drama",British English,"Sep 11, 2020"
24,Ginny & Georgia,https://resizing.flixster.com/xAkDtUd1OtnICsc4uaLwywwy05g=/fit-in/180x240/v2/https://resizing.flixster.com/bOEHoxe8FnTy1QNnpUliaxj6gKE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZDZkZTdjNWYtMTJmMy00ZjJjLWE5MDQtYzdkNDA2ZjUwNzQzLmpwZw==,2021, Teenage Ginny and her family yearn to put down roots in a picturesque New England town after years on the... ,64,"Antonia Gentry,Brianne Howey,Diesel La Torraca,Jennifer Robertson","Debra J. Fisher,Anya Adams,Jeffrey Tahler,Jenny Daly",Netflix,Drama,English,"Feb 24, 2021"
25,White Lines,https://resizing.flixster.com/hPJs6zt_6gbR6HOvwX750iUjkU8=/fit-in/180x240/v2/https://resizing.flixster.com/iUJLtFxemYlCy-fd_xcDtV04gdw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjcwMTg1NS53ZWJw,2020," Zoe Walker leaves her quiet life behind to investigate her brother's disappearance in Ibiza, where she heads down a decadent... ",64,"Laura Haddock,Daniel Mays,Guillermo Lasheras,Pedro Casablanc","Nick Hamm,Luis Prieto",MULTI,"Drama,Mystery & Thriller",British English,"May 15, 2020"
26,Emily in Paris,https://resizing.flixster.com/v5Ohna8eWM6aBN6Ep36lgkmd9Dk=/fit-in/180x240/v2/https://resizing.flixster.com/Clm4tCiH0ujV3a93l8fnqHnJJKI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZTkwMTNhMDctNThlMi00NWM4LWIwZjQtNGUyNjA4OTU2YTM3LmpwZw==,2020, Chicago marketing executive Emily Cooper is hired to provide an American perspective at a marketing firm in Paris.... ,61,"Lily Collins,Philippine Leroy-Beaulieu,Ashley Park,Lucas Bravo",,Netflix,"Comedy,Drama",English,"Oct 2, 2020"
27,Ratched,https://resizing.flixster.com/YV7gXZ1PInktfv4fbraZsKS8TUM=/fit-in/180x240/v2/https://resizing.flixster.com/UpVukWJkP3JoSA2x2iAkCNdbmPA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjczNzIyMy53ZWJw,2020, A young nurse at a mental institution becomes jaded and bitter before turning into a full-fledged monster to her patients.... ,62,"Sarah Paulson,Sharon Stone,Cynthia Nixon,Finn Wittrock","Ryan Murphy,Michael Douglas,Aleen Keshishian,Margaret Riley",Netflix,"Drama,Mystery & Thriller",English,"Sep 18, 2020"
28,Trinkets,https://resizing.flixster.com/POSjPxnf8eKBePqw3GQGYs3nJKU=/fit-in/180x240/v2/https://resizing.flixster.com/h5XEL42oPoam-3kcmr7ElPLSM-M=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjUwODM2Ny53ZWJw,2019, A grieving teenager finds an unexpected connection with two classmates at her new high school when they all land in... ,60,"Brianna Hildebrand,Kiana Madeira,Quintessa Swindell,Odiseas Georgiadis","Shelley Zimmerman,Brin Lukens,Rebecca Glashow,Amy Andelson",Netflix,Drama,English,"Jun 14, 2019"
29,Partner Track,https://resizing.flixster.com/lRJhTLpoHBiqw7HnYD69C6UfiwU=/fit-in/180x240/v2/https://resizing.flixster.com/i7xlkPRw-XmmZjg7PrMML3T_WTA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYzQ4YTJlMTUtZDQ5NC00OGIzLWIyYjgtZDMxNDk4MDgyYWY3LmpwZw==,2022," Ingrid Yun, an idealistic lawyer, struggles with her moral compass as she fights to climb the partner track at a... ",57,"Arden Cho,Nolan Gerard Funk,Dominic Sherwood,Alexandra Turshen","Kristen Campo,Sarah Goldfinger,Tony Hernandez,Georgia Lee",Netflix,Drama,English,"Aug 26, 2022"
30,Ragnarok,https://resizing.flixster.com/p-l9hQ5b6cmQSyC9P8SCAMZVhPc=/fit-in/180x240/v2/https://resizing.flixster.com/7JfemtmGhrKvdQOZV_0T5AWQa2k=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjYxOTQyMi53ZWJw,2020, A small Norwegian town experiencing warm winters and violent downpours seems to be headed for another Ragnarok -- unless somebody... ,--,"David Stakston,Jonas Strand Gravli,Theresa Frostad Eggesbø,Herman Tømmeraas","Mogens Hagedorn,Adam Price,Meta Louise Foldager",Netflix,"Drama,Mystery & Thriller,Fantasy",Norwegian,"Jan 31, 2020"
31,Blood of Zeus,https://resizing.flixster.com/NfwwhhY5-QCMwPPfKcnjdblSxgs=/fit-in/180x240/v2/https://resizing.flixster.com/oSvAY9d5SB8EQqw6A17RnbRjI4c=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMjhmN2YwODUtZTk0YS00ZGJlLWJkNzMtNDU1MDk3MzExMzgyLmpwZw==,2020," Chronicles the illegitimate son of Zeus, a young man tasked with saving heaven and earth despite the interference of a... ",100,"Derek Phillips,Jason O'Mara,Mamie Gummer,Chris Diamantopoulos","Charley Parlapanides,Vlas Parlapanides",Netflix,"Adventure,Fantasy,Animation",English,"Oct 27, 2020"
32,The Dragon Prince,https://resizing.flixster.com/ARsxY_UZ4ZRT1cBtKdMxNrVUBsw=/fit-in/180x240/v2/https://resizing.flixster.com/Pebz5IzfVPfaXcks7iTzUQlyjX8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjMyODQwOS53ZWJw,2018," In the magical land of Xadia, magic comes from six primal sources: the sun, moon, stars, sky, earth and ocean.... ",100,"Jack De Sena,Paula Burrows,Sasha Zoey Rojen",Giancarlo Volpe,Netflix,"Adventure,Fantasy,Animation",English,"Sep 14, 2018"
