,poster,MovieName,Rating,Director
34,"https://m.media-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_QL75_UY71_CR3,0,48,71_.jpg",Drishyam,8.3,Jeethu Joseph
35,"https://m.media-amazon.com/images/M/MV5BYjA4MjEzYzAtOGIzMy00MDMxLWE1MDgtNjRhMDM0N2M1OTkzXkEyXkFqcGdeQXVyMTA5NjIyODcx._V1_QL75_UX48_CR0,0,48,71_.jpg",Anniyan,8.3,S. Shankar
36,"https://m.media-amazon.com/images/M/MV5BMDE0Y2NhYjEtNWM3MS00MzFiLTlkODctYmViY2Q4OTczYWI2XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UY71_CR3,0,48,71_.jpg",Jaane Bhi Do Yaaro,8.3,Kundan Shah
37,"https://m.media-amazon.com/images/M/MV5BZTg2YWFkOGMtYWExMy00YmFiLTk2YjctNTAzZDk5MjdhMzdlXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_QL75_UY71_CR1,0,48,71_.jpg",Khosla Ka Ghosla!,8.2,Dibakar Banerjee
38,"https://m.media-amazon.com/images/M/MV5BNmViYWRlZWEtYjFhZi00Njg4LTg4YmYtMTQ2MTFkYmMwNjRmXkEyXkFqcGc@._V1_QL75_UX48_CR0,0,48,71_.jpg",Aparajito,8.2,Satyajit Ray
39,"https://m.media-amazon.com/images/M/MV5BNWVjNGExNjItOWRlZi00Nzk1LWJmZDUtOGQ0NzgyYTBlOTZmXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UX48_CR0,2,48,71_.jpg",Sarpatta Parambarai,8.5,Pa. Ranjith
40,"https://m.media-amazon.com/images/M/MV5BYmYxOThiNjAtNTg2ZS00NjlhLTlmZmMtYzM4NTMyY2JjYTQ3XkEyXkFqcGdeQXVyMTcwNDM5OTMy._V1_QL75_UY71_CR5,0,48,71_.jpg",Nuvvu Naaku Nachchav,8.8,Vijay K. Bhaskar
41,"https://m.media-amazon.com/images/M/MV5BZjhkYTU2YTgtM2ZkYS00MzJkLWE2ZjAtZjY5MTI4OWE2YmZjXkEyXkFqcGdeQXVyODIwMDI1NjM@._V1_QL75_UY71_CR2,0,48,71_.jpg",Vada Chennai,8.4,Vetrimaaran
42,"https://m.media-amazon.com/images/M/MV5BYTc0ODgyODMtYTU3OS00NDcxLWI3YmYtZGVjMWQxOGI2ODZiXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_QL75_UY71_CR4,0,48,71_.jpg",Thani Oruvan,8.4,Mohan Raja
43,"https://m.media-amazon.com/images/M/MV5BMmFkNDY5OTktNzY3Yy00OTFlLThhNjktOTRhMmZjZmIxYjAxXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_QL75_UX48_CR0,0,48,71_.jpg",Pather Panchali,8.2,Satyajit Ray
44,"https://m.media-amazon.com/images/M/MV5BMTMwMjk3MzA2OF5BMl5BanBnXkFtZTcwNjU2ODgzMQ@@._V1_QL75_UY71_CR1,0,48,71_.jpg",Satya,8.3,Ram Gopal Varma
45,"https://m.media-amazon.com/images/M/MV5BZmY5NjNjYWMtNmJhNi00YTk0LTg0OWUtNDE4OGQ0YmM4NDAwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UY71_CR3,0,48,71_.jpg",Bangalore Days,8.3,Anjali Menon
46,"https://m.media-amazon.com/images/M/MV5BOTlkOTk1ZTMtY2EzZC00NjJmLWEyNDMtNjhlMDQxMGIzMjk3XkEyXkFqcGdeQXVyODMyODMxNDY@._V1_QL75_UY71_CR2,0,48,71_.jpg",Chupke Chupke,8.3,Hrishikesh Mukherjee
47,"https://m.media-amazon.com/images/M/MV5BMzJhNjMyOGMtYjhiYy00ZTAwLThmZWUtZmE5NzI3OTk4Y2M4XkEyXkFqcGdeQXVyMzQ5Njc3NzU@._V1_QL75_UY71_CR3,0,48,71_.jpg",Premam,8.3,Alphonse Puthren
48,"https://m.media-amazon.com/images/M/MV5BMTM2MmJkZmUtZWQ0Yi00YWZjLWIyNTItNDQ2YzAwNmI4YjlmXkEyXkFqcGdeQXVyODMxNjkyNzQ@._V1_QL75_UX48_CR0,0,48,71_.jpg",Agent Sai Srinivasa Athreya,8.3,Swaroop Rsj
